абонементный	абонемента
соска	нёнь
соскок	чеччыштӧм
сословие	сословие
сосна	пожӧм
сосредоточение	ӧтвывтӧм
состав	состав
составитель	лӧсьӧдысь
состояние	лыддьысьӧм
состоятельность	озырлун
сосуд	доз
сосуд	сӧн
сосун	нёньпом
сотворение	вӧчӧм
сотка	
сотня	сёа
соус	соус
соха	гӧр
сохранение	видзӧм
сохранение	кольӧм
социализм	социализм
социология	социология
социум	йӧзкотыр
сочень	сӧчӧн
сочинение	лӧсьӧдӧм
сочинитель	гижысь
сошник	амысь
соя	соя
спад	усьӧм
спазм	
спазм	гӧрддзасьӧм
спайка	спой
спайка	спояйтӧм
спайка	спояйтчӧм
спаньё	узьӧм
спаривание	кыпалӧм
спартакиада	спартакиада
спасание	мездӧм
спасатель	мездысь
спасение	мездӧм
спасение	видзӧм
спасение	мездысьӧм
спаситель	Мезӧс
спектакль	спектакль
спектр	
сперма	сперма
сперматозоид	сперматозоид
специализация	специализируйтӧм
специализация	специализируйтчӧм
специальность	уджсикас
спешка	
спешка	тэрмасьӧм
спид	спид
спинка	бӧр
спираль	гартлӧс
спиритизм	спиритизм
спирт	спирт
спиртовка	спиртовка
списание	мездӧм
спихивание	сюйыштӧм
сплетение	кыӧм
сплетение	кысьӧм
сплотка	
сплотка	топӧдӧм
сплотка	пуръялӧм
спокойность	лӧньлун
споласкивание	пожйыштӧм
сползание	шыбӧлитӧм
спорт	спорт
спортсмен	спортсмен
спортсменка	спортсменка
способ	ног
спрашивание	юалӧм
спринт	спринт
спринцовка	спринцовка
спрос	юалӧм
спряжение	
спрямление	веськӧдӧм
спуск	лэдзӧм
спуск	лэччӧм
спуск	усьӧм
спуск	пезьдӧдан
спутник	спутник
сравнение	орччӧдӧм
срастание	йитчӧм
сращение	
сращение	ӧтлаасьӧмтор
срез	вундӧм
срез	вундас
сретение	Сретенньӧ
сруб	сруб
срыв	орӧдӧм
срыв	торксьӧм
срыгивание	быликтӧм
ссаживание	чеччӧдӧм
стабилизатор	стабилизатор
стадион	стадион
стажировка	стажируйтчӧм
стакан	стӧкан
стамеска	стамеска
станция	станция
старейшина	старейшина
старение	пӧрысьмӧм
старик	пӧль
старинность	важсятор
старовер	
стартер	стартер
старшина	старшина
статистика	статистика
статус	статус
статуэтка	статуэтка
статуя	статуя
стезя	туй
стекание	визувтӧм
стекло	стеклӧ
стеллаж	джадж
стельность	тыр
стена	от
стена	берд
стенгазета	стенгазет
стенд	стенд
стенограмма	стенограмма
степень	пӧвъёвтӧм
степень	тшупӧд
степь	степ
стерва	пежпоз
стереометрия	стереометрия
стереотип	стереотип
стержень	за
стеснение	дзескӧдӧм
стеснённость	дзескалӧм
стилизация	стилизация
стилистика	стилистика
стимулятор	стимулятор
стипендия	стипендия
стихотворение	кывбур
стоимость	дон
столбик	сувтсӧг
столетие	нэм
столица	юркар
столовая	столӧвӧй
стоматология	стоматология
сторона	бок
сторона	му
сторона	бок
сторона	видзӧдлас
стояние	сулалӧм
стоянка	сувтланін
стоянка	сулаланін
страж	
стражник	видзысь
страница	листбок
страница	кадколаст
странник	
стратег	стратег
страус	страус
страх	
страхование	страхуйтӧм
страхователь	страхуйтчысь
стрекоза	вертолёт
стрекот	чирксьӧм
стрекотание	
стрела	ньӧв
стрела	стрела
стрелка	стрелка
стрелок	лыйсьысь
стрельба	лыйсьӧм
стремление	веськӧдӧм
стремя	стремена
стрептококк	стрептококк
стрижка	шырӧм
строгость	чорыдлун
строгость	стӧчлун
строение	стрӧйба
строение	тэчас
стройка	стрӧитчӧм
стройка	стрӧитчанін
строфа	строфа
стружка	стружитчӧм
струйка	визлас
струна	вез
струп	лӧм
стручок	пуртӧс
струя	ва
студент	студент
студентка	студентка
студенчество	студентъяс
студенчество	студенталӧм
студия	студия
ступа	гыр
ступица	трубича
стыд	яндзим
стыдливость	яндысьӧм
стык	йитвеж
стыковка	йитчӧм
стыковка	йитӧм
стюард	бортпроводник
стюардесса	бортпроводнича
стяг	дӧрапас
стягивание	чукӧртӧм
стягивание	зэлалӧм
стягивание	чукӧртчӧм
стёклышко	стеклӧтор
стёсывание	лӧсалӧм
суббота	субӧта
субботник	субӧтник
субъективист	субъективист
сугроб	тола
судорога	войтӧв
судьба	
суживание	векньӧдӧм
сук	ув
сукно	ной
сула	бедь
сулема	сулема
султан	султан
сумасбродство	йӧйталӧм
сумка	сумка
сумма	сьӧм
сумма	сумма
сумрачность	букыдлун
сундук	тылӧс
суп	шыд
супоросность	тыр
супруг	верӧс
супруг	гозъя
супруга	гӧтыр
сургуч	сургуч
сурепица	
сурепица	
суровость	кӧдзыдлун
суровость	сьӧкыдлун
суровость	чорыдлун
сусек	йӧртӧд
суслик	
сусло	чужва
сутулость	мышкырлун
суфле	суфле
суффикс	суффикс
сухощавость	косньӧдлун
сучение	путшкӧм
сучковатость	увйӧсьлун
сучкоруб	увйысьысь
сушение	косьтӧм
сушение	косьмӧм
сушилка	косьтысянін
существительное	эмакыв
существование	олӧм
сфера	гӧгӧртас
сфинкс	сфинкс
схема	схема
сход	лэччӧм
сход	лэччанін
сходность	ӧткодьлун
сходство	ӧткодьлун
сцеживание	сысъялӧм
сцена	лоӧмтор
сценарий	сценарий
сцеп	
сцепление	чукӧр
счастье	шуд
счетоводство	тшӧтӧводство
счёт	тшӧт
счётчик	лыддьысь
счётчик	счётчик
съём	босьтӧм
съёмка	снимайтӧм
сыворотка	рысьва
сыворотка	сыворотка
сын	пи
сыр	сыр
сыроежка	уртшак
сыч	сюзь
сюжет	сюрӧс
сюита	сюита
сюрприз	виччысьтӧмтор
сюртук	сюртук
табак	табак
табак	табак
табачница	
табель	табель
табор	табор
табу	
табу	олӧм
таволга	лобоз
тавро	пасъян
таинственность	гусятор
такелаж	
такси	такси
таксофон	таксофон
талант	енби
талия	кос
талон	талон
тальк	тальк
тальник	бадь
тальянка	таллянка
таможенник	таможняса
тангенс	тангенс
танго	танго
танкист	танкист
танцор	йӧктысь
танцплощадка	йӧктанін
таракан	тӧрӧкан
таран	йиг
татуировка	бытшкалӧмин
тать	гусясьысь
татьба	гусясьӧм
таяние	сылӧм
тварь	пемӧс
твердыня	изкар
твердь	
творец	
творец	ен
творчество	творчество
твёрдость	чорыдлун
твёрдость	зумыдлун
тезаурус	кывчукӧр
тезис	тезис
тезоименитство	нимлун
текстильщик	кыысь
тектоника	
телевидение	телевиденньӧ
телега	телега
телеграмма	телеграмма
телеграф	телеграф
телекс	телекс
телестанция	телестанция
телестудия	телестудия
телетайп	телетайп
телефакс	телефакс
телефон	телефон
телефонист	телефонист
телецентр	телецентр
тело	телӧ
телохранитель	видзысь
тельник	
тельник	перна
темень	пемыд
темнота	пемыд
темнота	пемыдлун
темп	ӧд
температура	температура
теннис	теннис
тень	вуджӧр
тень	мыгӧр
тень	сайӧд
тенёта	казь
теорема	теорема
теория	теория
теория	видзӧдлас
теплица	теплича
тепловоз	тепловоз
теплоход	теплоход
теплушка	
терапия	
теребление	нетшкӧм
термин	термин
термос	термос
терние	
терпение	терпенньӧ
терпимость	терпитӧм
терпимость	лэптӧм
терраса	тшупӧд
террористка	террористка
тесание	лӧсалӧм
теснение	топӧдӧм
теснота	дзескыдлун
теснота	дзескыдін
тетерев	тар
тетеря	
тетива	вез
тетрадь	тетрадь
тетёрка	
техник	техник
техника	техника
техникум	техникум
технократ	технократ
технолог	технолог
течение	визувтӧм
течение	визь
тигр	тигр
тигрёнок	тигрпи
тильда	тильда
тип	сикас
тип	морт
типаж	сикасъяс
типология	сикаслун
тиражирование	лыдмӧдӧм
тиран	тиран
тире	тире
тихоход	
тишь	
ткань	
тканье	кыан
тлен	
тмин	тмин
товарищ	ёрт
товарищество	ёртасьӧм
товарищество	лӧсялӧм
товарищество	котыр
товаровед	тӧваровед
тождественность	ӧткодьлун
тождество	ӧткодьлун
токарь	токар
токование	койтӧм
толкователь	гӧгӧрвоӧдысь
толкучка	
толща	джуджда
толща	кызта
толща	пытш
толь	толь
том	том
томительность	ониш
томление	пожӧм
томность	нярмыдлун
тон	шы
тон	сёрнитанног
тон	рӧм
тональность	
тонирование	
тонирование	рӧммӧдӧм
тонна	тонна
тонус	ыззьӧм
тоня	тӧня
топаз	топаз
топограф	топограф
топография	топография
топор	чер
торба	зӧбня
торбаса	пими
торг	донъясьӧм
торг	базар
торг	тӧрг
торгаш	вузасьысь
торец	бокладор
торжественность	кыпыдлун
торжество	кыпыдлун
торжище	вузасянін
торопливость	тэрыблун
торошение	тӧрӧгалӧм
торпеда	торпеда
торпедист	торпедист
торт	торт
торшер	торшер
тоталитарность	ыджыдалӧм
точилка	ёсьтан
точность	стӧчлун
трава	турун
травматизм	доймалӧм
травмирование	дойдӧм
травмирование	дойдӧм
травостой	турунзьӧм
трагедия	трагедия
трагизм	трагизм
трагикомедия	трагикомедия
традиционность	важсялун
тракт	тракт
трактат	
трактование	
трактование	видлалӧм
трактор	трактор
тракторист	тракторист
трактористка	трактористка
трал	
тральщик	
трамбовка	
трамбовка	чокмар
трамвай	трамвай
трамплин	трамплин
транзистор	транзистор
транс	
транскрипция	
трансляция	транслируйтӧм
трансляция	транслируйтантор
трансмиссия	трансмиссия
транспорт	транспорт
транспортирование	колльӧм
трансформатор	трансформатор
трап	пос
трапеция	трапеция
трасса	туй
трата	видзӧм
трахея	сераголя
треба	
трезвость	палялӧм
тренога	
трепальня	нирасянін
трепальня	летчанін
трепальщик	нирасьысь
трепание	ниралӧм
трепание	летӧм
трепло	
трепло	
треска	треска
трескотня	
трест	трест
треугольник	куимсэрӧг
трещина	торксьӧм
трибуна	трибуна
тригонометрия	тригонометрия
трико	
трикотаж	кыӧмтор
трикотажник	кысьысь
триптих	
трифоль	кадвуж
трихина	ков
тройка	куим
тройка	куимӧн
тройник	тройник
троллейбус	троллейбус
тромб	
тромб	суктас
тромбон	тромбон
тропик	тропик
тростник	тростник
трость	бедь
тротуар	моски
труба	труба
труба	труба
труба	
трубка	каллян
трубка	трубка
трубопровод	трубопровод
труд	удж
труд	удж
труд	уджалӧм
трудодень	уджлун
труженик	уджалысь
труженичество	уджалӧм
труп	шой
труха	ковтӧмтор
трюмо	трюмо
тряпьё	
тряска	бергӧдлӧм
трясогузка	сырчик
трёпка	
трёпка	торшӧдлӧм
туберкулёзник	
туес	туис
туз	туз
туз	туз
тулья	лыбӧд
туман	гудыр
туманность	гудыртчӧм
туманность	гудыр
тунец	тунеч
туннель	туннель
турбаза	турбаза
турбина	турбина
туризм	туризм
тучность	тшӧглун
тучность	вын
тучность	улислун
тучность	шаньлун
туш	туш
туша	туша
тушь	туш
тушёвка	визьяс
туя	туя
тыква	тыква
тыл	тыл
тысячелетие	сюрсво
тысячелистник	кӧртдой
тычок	
тюбетейка	тюбетейка
тюбик	тюбик
тюль	тюль
тюльпан	тюльпан
тюркология	тюркология
тюфяк	перина
тягость	мудз
тягучесть	нюдзлун
тягучесть	суклун
тяж	
тяж	тасма
тяж	йитлӧс
тяж	сӧн
тяжба	судитчӧм
тяжесть	сьӧкыдлун
тяжесть	сьӧкыд
тяпка	кокан
тёлка	
тёмная	пемыдін
тёс	тьӧс
тёска	лӧсалӧм
тёща	тьӧща
убаюкивание	такӧдӧм
убиение	виӧм
убогость	жеблун
убожество	коньӧрлун
убожество	жеблун
убранство	мичмӧдӧм
увал	нырӧк
увековечение	нэммӧдӧм
увеличение	ыдждӧдӧм
уверение	эскӧдӧм
увертюра	увертюра
увеселитель	гажӧдысь
увесистость	сьӧкыдлун
увечье	доймӧм
увлечение	кыпыдлун
увлечение	ылалӧм
увоз	нуӧм
увольнение	лэдзӧм
угар	кольмӧм
угасание	кусӧм
углевоз	
углекислота	углекислота
углерод	углерод
углублённость	джудждаммӧм
углублённость	содӧм
угнетение	пӧдтӧм
уговор	
уговор	сёрнитчӧм
угол	пельӧс
угол	пельӧс
уголовщина	
уголок	пельӧс
уголок	пельӧс
уголь	шом
угольщик	
угонка	
удавленник	
удаление	вундӧм
удар	шог
удар	уськӧдчӧм
удар	паралич
ударение	ударенньӧ
удачливость	шудалун
удвоение	кыкпӧвъёвтӧм
удерж	
удобство	лӧсьыдлун
удобство	удобство
удовлетворение	могмӧдӧм
удовлетворение	дӧвӧльлун
удовлетворённость	дӧвӧльлун
удой	лысьтӧм
удостоверение	эскӧдӧм
удостоверение	эскӧданпас
уединённость	йӧзтӧмин
уезд	уезд
ужас	повзьӧм
ужас	
ужесточение	чорзьӧдӧм
узилище	дзескыдін
узнавание	тӧдмалӧм
узнавание	тӧдӧм
узость	векньыдін
указатель	индӧд
указатель	тошъян
указатель	петкӧдлысь
указатель	индалысь
указка	индӧд
укачивание	мудзтӧдӧм
укладка	вольсалӧм
укладчик	вольсалысь
укладывание	вольсалӧм
уключина	ӧключина
укол	укол
укос	
укос	ытшкӧм
укроп	укроп
уксус	уксус
улов	кыйдӧс
улучшение	бурмӧм
улучшение	бурмӧдӧм
улучшение	буртор
умаление	чинтӧм
уменьшаемое	чинтӧс
умеренность	шӧркоддьӧм
умерщвление	виӧм
уместность	лӧсялӧм
умильность	леститчӧм
умирание	кулӧм
умник	
умолот	усьӧм
умонастроение	мӧвпвизь
уморение	тӧмитӧм
умывальня	мыссянін
умыкание	пышйӧдӧм
умысел	план
умягчение	небзьӧдӧм
умягчение	небзьӧм
универмаг	универмаг
универсализм	унасикаслун
университет	университет
унитаз	унитаз
уничтожение	потшӧм
унос	нуӧм
упаковка	тӧбӧд
упитанность	вердаслун
уплотнение	топӧдӧм
уподобление	ӧткодялӧм
уподобление	пӧрӧм
уполовник	дар
упорство	
употребление	сёйӧм
употребление	юӧм
управа	управа
управитель	
управление	веськӧдлӧм
управление	веськӧдлӧм
управляемость	веськӧдлӧм
упражнение	удж
упражнение	турисювтчӧм
упряжка	
упущение	кольӧм
уравнение	ӧткодялӧм
ураган	
уран	уран
урбанизм	
урезка	
урема	войт
урина	кудз
урна	урна
уродство	мисьтӧмлун
уродство	мисьтӧмтор
урок	урок
урядник	урадник
усадьба	усадьба
усач	сиргаг
условие	кесйӧг
условие	подув
условие	мыччӧд
услужливость	кывзысьӧм
усовершенствование	бурмӧдӧм
успеваемость	велалӧм
успение	кулӧм
успение	успенньӧ
успех	вермӧм
установка	установка
установка	нырвизь
установление	сувтӧдӧм
установление	лӧсьӧдӧм
установление	тӧдмалӧм
устарелость	важмӧм
устилка	вольсалӧм
устилка	вольӧс
устройство	тэчасног
устройство	тэчас
уступ	тшупӧд
уступка	сетӧм
устье	вом
усугубление	
усушка	косьмӧм
усыпальница	дзебанін
усыпление	пагӧдӧм
усыпление	ланьтӧдӧм
утайка	
утверждение	вынсьӧдӧм
утепление	шонтӧм
утеря	воштӧм
утеха	
утка	утка
уток	кыан
утоление	веськӧдӧм
утоление	пальӧдӧм
утопист	утопист
утор	джу
уточнение	стӧчмӧдӧм
уточнение	стӧчмӧдантор
утреня	асъя
утро	асыв
утроба	
утряска	ладмӧдӧм
утюг	утюг
утяжеление	сьӧктӧдӧм
утёнок	уткапи
уха	юква
ухарство	удаллун
ухват	укват
ухватка	
ухо	пель
ухудшение	сьӧктӧм
участник	участвуйтысь
участок	юкӧн
ученик	велӧдчысь
училище	училище
учитель	велӧдысь
учительство	велӧдысьяс
учреждение	йӧзкерка
учёба	велӧдчӧм
уширение	паськӧдӧм
уширение	паськыдін
ушко	пыс
ушко	пель
ущемление	топӧдӧм
ущерб	пыдӧс
уяснение	тӧдмалӧм
фабрика	фабрика
фабрикантша	
фабрикантша	
фабула	сюрӧс
фабульность	сюрӧслун
фагот	фагот
фаза	юкӧн
фазан	фазан
фазотрон	ӧддзӧдан
файл	файл
факс	факс
фактура	
фактура	аслыспӧлӧслун
фактура	тэчас
факультет	факультет
фальсификатор	
фальсификация	
фальсификация	пӧрйӧг
фальсификация	лёкмӧдӧм
фальсифицирование	
фальсифицирование	пӧрйӧдлӧм
фальц	йитвеж
фальц	кусынь
фальцевание	куснявлӧм
фальцовщик	куснявлысь
фальшивка	
фальшивка	пӧрйӧг
фамилия	ов
фамилия	семья
фанера	фанера
фант	
фант	пудъясянтор
фантазия	ру
фантазия	фантазия
фантазёр	лӧсьӧдлысь
фантом	
фантом	лӧсьӧдӧмтор
фанфара	фанфара
фарфор	фарфор
фаска	бан
фасоль	фасоль
фашизм	фашизм
фашист	фашист
федерализм	федерализм
федерация	федерация
федерация	котыр
фельдмаршал	фельдмаршал
феномен	
феномен	петкӧдчӧмтор
феодал	феодал
феодализм	феодализм
ферма	ферма
фестиваль	фестиваль
фетр	гын
фиалка	фиалка
фигня	ковтӧмтор
фигура	пертас
фигура	морт
фигуральность	серпаслун
физалис	физалис
физик	физик
физиолог	физиолог
физиономия	
физкультура	физкультура
физкультурник	физкультурник
физкультурница	физкультурнича
фиксация	веськӧдӧм
фикус	фикус
филармония	филармония
филолог	филолог
филология	филология
философия	философия
фильм	фильм
фильтр	фильтр
филёнка	
фимиам	ладан
финик	финик
финифть	финифть
финт	наянитӧм
финтифлюшка	
фирма	фирма
фисгармония	фисгармония
фиск	казна
фисташка	
фитиль	петель
фитюлька	
фламинго	фламинго
фланель	помазея
флегма	
флегма	
флейта	флейта
флокс	флокс
фобия	полӧм
фольга	фольга
фольклор	фольклор
фонарь	пӧнар
фонд	фонд
фонетика	
фонетика	шыкуд
фонтан	дзульк
форейтор	палетур
форма	бала
форма	лу
форма	форма
формалин	формалин
формальность	ноглун
форманта	форманта
формат	ыджда
формирование	котыртӧм
формование	
формовка	лу
формула	формула
формуляр	
формуляр	формуляр
форсирование	ӧддзӧдӧм
фортепьяно	фортепьяно
фосфор	фосфор
фосфоресценция	югзьӧм
фосфорит	фосфорит
фотография	снимайтчанін
фотообъектив	фотообъектив
фотоплёнка	фотоплёнка
фотосинтез	фотосинтез
фрагмент	
фраза	кывйитлӧс
фразеологизм	кывтэчас
фразеология	кывтэчасъяс
фрамуга	фрамуга
фрахт	
фреза	
фрейдизм	фрейдизм
фривольность	
фронт	фронт
фронт	ӧтувтчӧм
фронт	визь
фтор	фтор
фуга	фуга
фугас	фугас
фугование	
фуксия	фуксия
фундаментальность	
функционирование	уджалӧм
функция	функция
функция	удж
фураж	кӧрым
фурункулёз	мылльӧссьӧм
футбол	футбол
футляр	пуртӧс
футуролог	футуролог
халат	халат
халва	халва
халтура	
хаотичность	дзуглун
хариус	ком
харканье	сьӧласьӧм
харчевня	нуръясянін
хвала	
хвала	ошкӧм
хваление	ошкӧм
хвоинка	лыс
хворост	
хвост	бӧж
хвост	бӧж
хвост	ӧчередь
хвостик	идз
хвоя	лыс
химия	химикатъяс
химчистка	
хирург	хирург
хитросплетение	
хитросплетение	наянитӧм
хлад	кӧдзыд
хлам	
хлеб	нянь
хлеб	нажӧтка
хлебец	няньтор
хлебница	
хлеборезка	
хлопец	
хлопотун	ноксьысь
хлопушка	шлачкан
хлопчатник	хлопчатник
хлор	хлор
хлюпанье	
хлястик	клястик
хна	хна
хныканье	
ход	мунӧм
ход	ветлӧм
ход	ӧд
ход	ветланін
ходка	ветлӧм
ходкость	восьлас
хозяин	олыся
хозяйка	ыджыдалысь
хозяйство	овмӧс
хоккей	хоккей
холод	кӧдзыд
холод	кӧдзыдін
холодина	кӧдзыд
холодность	кӧдзыдлун
холодность	видзчысьӧм
холодок	
холодок	ыркыд
холодок	ыркыдін
холодок	йирмӧг
холодрыга	кӧдзыд
холощение	кодзӧм
холст	дӧра
холстинка	дӧра
холуй	
холуй	кесйылӧс
хомут	асык
хомяк	хомяк
хор	хор
хохлатка	
хранение	видзӧм
хранилище	видзанін
хребет	мыш
хрен	хрен
хризантема	хризантема
хрип	киргӧм
христос	кристос
хромирование	
хромка	хромка
хрупкость	жеблун
хрыч	кутш
хрюканье	руксӧм
хрюшка	порсь
художество	художество
худощавость	косньӧдлун
хулиган	кулиган
хулиганка	кулиганка
хулиганьё	кулиганъяс
хунта	хунта
хурма	хурма
хутор	хутор
цапка	кокан
цапля	цапля
царение	сералӧм
царица	сарань
царство	саралӧм
царство	сарство
царство	ыджыдалӧм
царь	медыджыд
цаца	чача
цежение	вийӧдӧм
целина	эжа
целитель	бурдӧдысь
целлофан	целлофан
целлюлоза	целлюлоза
целостность	ӧтторъялун
цель	пас
цель	мог
цельность	ӧтторъялун
цемент	цемент
цементация	цементасьӧм
цементирование	цементируйтӧм
цена	дон
ценз	
ценность	дон
центр	шӧр
центр	шӧр
центр	шӧрин
центрифуга	центрифуга
центрование	
центрование	
цеп	вартан
цепкость	нюдзлун
цепочка	чеп
цесаревич	сарпу
цех	цех
цигарка	чигарка
цигейка	цигейка
цидулька	гижӧдтор
цикорий	цикорий
цилиндр	цилиндр
цинга	цинга
цинк	цинк
циновка	рӧгӧза
цирк	цирк
циркачество	циркасьӧм
цирконий	цирконий
цирюльник	
цирюльник	шырсьысь
цирюльник	бурдӧдысь
цирюльня	шырсянін
цистерна	цистерна
цитадель	изкар
циферблат	циферблат
цифирь	
цифирь	лыдпасъяс
цифирь	арифметика
цифра	лыдпас
цуг	звӧйк
цыганочка	чиганка
цыплёнок	чипанпи
чабер	чабер
чад	кольмӧдантор
чайка	каля
чайник	чайник
чаровник	тӧдысь
час	час
часок	час
частик	
частное	юкбӧр
частота	тшӧкыдлун
частота	топыдлун
частота	суклун
частота	тэрыблун
частотность	тшӧкыдлун
часть	пай
чашка	чашка
чаёвник	чаясьысь
чекан	
чекист	чекист
челнок	
человек	морт
человекодень	мортув
челюсть	
челядь	
чемерица	кӧкакань
чемпион	чемпион
чемпионат	чемпионат
чемпионка	чемпионка
чепе	
чепуха	
червяк	
черепаха	черепаха
черешня	
черканье	
черканье	гижйӧдлӧм
черканье	киритӧм
чернение	сьӧдӧдӧм
чернение	сьӧдӧдӧм
черника	чӧд
черничник	чӧдъяин
чернобурка	
чернота	сьӧдӧб
чернотроп	
черпак	кӧш
чертовщина	
чертёж	чертёж
чертёнок	
черчение	черченньӧ
черёд	кад
черёд	ӧчередь
черёмушник	льӧмъяин
чесальщик	
чесальщик	зуасьысь
чеснок	чеснӧк
чествование	ыдждӧдлӧм
честность	веськыдлун
честь	нывбур
чета	
чета	гозъя
четверг	четверг
четверостишие	нёльвизя
четвертинка	
четвертинка	чекушка
четырёхугольник	нёльсэрӧг
чечевица	чечевича
чешуя	сьӧм
чибис	чибис
чиж	чиж
чирёнок	жыдачпи
число	лыд
чистильщик	весалысь
чистоган	
чистоган	озырмӧдчӧм
чистоплюй	
чистопородность	рӧдвывлун
чистосердечность	веськыдлун
чистота	сӧдзлун
чистота	сэзьлун
чистота	югыдлун
чистота	веськыдлун
читание	лыддьысьӧм
читка	лыддьӧм
чих	несйӧм
член	шлен
член	юкӧд
чрево	
чрево	пытшкӧс
чтение	лыддьысьӧм
чтиво	лыддянтор
чуб	сорс
чувственность	кылӧм
чувствительность	стӧчлун
чувствительность	полӧм
чугун	чугун
чудаковатость	тешкодьлун
чудо	ирел.чудеса
чудо	
чужак	
чум	чум
чума	чума
чуткость	сюсьлун
чуткость	кокнилун
чуткость	стӧчлун
чуточка	
чуточка	войт
чуточка	
чучело	чучела
чёлка	бурысь
чёлка	чолка
чёрточка	визьтор
чёска	
чёска	нистӧм
чёт	тшӧт
чётность	тшӧт
шабашка	
шабашка	вӧчӧмтор
шабашник	шабашник
шаблон	намет
шаблон	бала
шаг	воськов
шайба	шайба
шайба	шайба
шаланда	шаланда
шалфей	шалфей
шаманство	
шампанское	шампанскӧй
шанс	ком
шаньга	шаньга
шапка	шапка
шарада	нӧдӧдчан
шараханье	
шаржирование	
шарик	ёкмыль
шарикоподшипник	шарикоподшипник
шарманка	шарманка
шарнир	дзир
шасси	
шастанье	волькӧдан
шаткость	дзибрӧслун
шатёр	туган
шахтёрка	
шваль	
швальня	вурсянін
швартовка	домасьӧм
швец	вурсьысь
швея	вурсьысь
швыряние	шыблалӧм
шептун	
шероховатость	сарӧгаин
шерсть	вурун
шершавость	сарӧг
шест	бедь
шестиугольник	квайтсэрӧг
шесток	сёр
шестёрка	квайта
шеф	шеф
шеф	юрнуӧдысь
шибай	барышничайтысь
шиворот	шоша
шик	
шикарность	
шило	шыла
шилохвостка	кавкавлык
шимпанзе	шимпанзе
шинель	шынель
шинкарство	
шинкарь	
шинкование	шырӧм
шинковка	шырӧм
шипение	чушкӧм
шипение	вишкӧм
шиповник	лежнӧгйыв
ширма	сайӧд
ширма	сайӧд
широкость	паськыдлун
широта	паськыдлун
широта	пасьта
шитьё	вурсян
шитьё	вышивайтӧм
шифер	шипер
шифр	гусяпас
шифр	индӧдпас
шифровка	гусяпасалӧм
шиш	
шишка	коль
шишка	шмак
шкала	мурт
шкалик	
шкалик	кальчик
шкатулка	куд
шкаф	шкап
шкаф	пач
шкворень	болт
шкив	шкив
шкода	
школа	школа
шланг	шланг
шлейф	пуркйӧг
шлем	шлем
шлея	шлея
шлюз	шлюз
шмель	мазі
шницель	шницель
шнур	кӧв
шнур	провод
шнурование	кӧртавлӧм
шнурование	вурӧм
шов	вурыс
шов	вурыс
шов	йитвеж
шок	шок
шоколад	шоколад
шомпол	шомпур
шоссе	туй
шпага	шы
шпагат	шпагат
шпаклевание	шпаклюйтӧм
шпаклёвка	
шпаклёвка	шпаклюйтӧм
шпаклёвка	шпаклюйтан
шпалера	шпалер
шпаргалка	
шпатель	тэльӧб
шпинат	шпинат
шпионство	шпионалӧм
шпора	шпора
шрам	вурыс
шрифт	гижӧбтас
штаб	штаб
штамп	штамп
штамп	ӧтног
штампование	штампуйтӧм
штанга	штанга
штанга	штанга
штангенциркуль	штангенциркуль
штепсель	штепсель
штифт	тув
штольня	гӧбӧч
штопка	сунис
штора	занавес
штраф	штрап
штриховка	визьйӧдлӧм
штриховка	визьйӧдлӧмин
штука	пома
штукатурка	мавтас
шуба	пась
шубёнка	пасьшой
шулерство	мутлуйтчӧм
шум	шы
шум	шы
шуруп	тшуруп
шурф	шурф
шутка	теш
шушуканье	
шушуканье	тяльскӧдчӧм
шхуна	шхуна
щедрость	лютлун
щекотка	гильӧдӧм
щекотка	гилялӧм
щель	сайӧд
щербина	пинь
щербина	кост
щипание	
щипание	куштӧм
щипание	чӧсӧдӧм
щит	пӧв
щит	щит
щука	сир
щёлк	
щёлк	печик
щёлок	кунва
щёлочь	щёлоч
щётка	щӧтка
щётка	тшӧтки
эвкалипт	эвкалипт
эвристика	
эдикт	
эквивалент	ӧткодьтор
экзамен	экзамен
экзекутор	нӧйтысь
экзекуция	
экземпляр	морт
эконом	
эконом	
экономия	видзтӧм
экскурсия	экскурсия
экскурсия	
экспансия	
экспансия	паськалӧм
экспедитор	
эксплуататор	нартитысь
эксплуатация	нартитӧм
экспозе	
экспроприация	мырддьӧм
экстракция	
эксцентричность	
эксцесс	
эластик	резина
электризация	
электричка	
электровоз	электровоз
электрод	электрод
электромагнит	электромагнит
электроника	электроника
электропечь	электропач
электропоезд	электропоезд
электроскоп	электроскоп
электротехник	электротехник
элита	
эллинг	
эмаль	эмаль
эмпирик	практик
эмпирия	
эмпирия	видзӧдӧм
эмульгирование	
эмульсия	эмульсия
энергетик	энергетик
энергетика	энергетика
эолит	
эпатаж	карапужитчӧм
эпидемия	пӧрӧс
эпидиаскоп	эпидиаскоп
эпизод	вӧвлӧмтор
эпилог	бӧркыв
эпиталама	
эпитет	мичкыв
эрозия	сімӧм
эсер	эсер
эскадра	эскадра
эскулап	бурдӧдысь
эспланада	
эстамп	эстамп
эстрада	брундук
эстрада	эстрада
этажерка	этажерка
этюд	этюд
эфир	эфир
эффект	ворсӧдчӧм
юбка	юбка
юг	лунвыв
юла	дурпоп
юридизация	юридизация
юриспруденция	юриспруденция
юркость	писькӧслун
юрок	пинькай
юстиция	юстиция
ябеда	
ябеда	
яблоня	яблӧгпу
явление	лоӧмтор
явление	петкӧдчӧм
