абсолютнӧй	абсолютный
лолыны	происходить
лолыштны	проветриться
ломавны	пылать
ломавны	гореть
ломзьыны	засветиться
ломзьӧдны	зажечь
ломтыны	истопить
ломтыссьыны	истопиться
ломтысьны	гореть
ломтысьны	топиться
лоны	быть
лоны	выйти
лоны	прийтись
лотайтны	деть
лотшкыны	хрустеть
лыбавны	вздыматься
лыддьыны	насчитать
лыддьыны	приписать
лыддьысьны	насчитываться
лыддявны	перечитать
лызгыны	ныть
лыйлыны	стрелять
лыйны	выстрелить
лыйсьыны	стрелять
лыйсьыны	отстреливаться
лыйсьыны	перестреливаться
лысьтыны	доиться
лытайтны	скитаться
лэбавны	летать
лэбавны	налетать
лэбавны	носиться
лэбалыштны	полетать
лэбыштны	махнуть
лэдзавны	выпускать
лэдзавны	спускать
лэдзавны	фабриковать
лэдзавны	опустить
лэдзны	запустить
лэдзны	отложить
лэдзсьыны	издаваться
лэдзыштны	припустить
лэптавны	поднимать
лэптавны	подоткнуть
лэптасьны	подтягиваться
лэптыны	произвести
лэптыштны	поддёрнуть
лэчтасьны	оттачивать
лэччыны	течь
лэччыны	падать
лэччӧдлыны	спускать
любитчыны	влюбиться
любуйтчыны	любоваться
любуйтчыштны	полюбоваться
любуйтчыштны	понаслаждаться
лювзыны	выть
лювъявны	колыхаться
люзьвидзны	свисать
люзьгӧдчыны	растянуться
люзьявны	таскаться
люкасьны	бодаться
люньгыртчыны	никнуть
люньявны	слоняться
люнявны	обессилеть
лябсьыны	жаловаться
лявзыны	тявкать
лявзыны	выть
ляксьыны	замешаться
лямавны	раздавиться
ляскыны	бросить
ляскысьны	лепиться
ляскӧдчыны	ластиться
ляскӧдчыны	сплетничать
лёгсьыны	примяться
лёзьгӧдны	распустить
лёзьгӧдчыны	сваляться
лёкмӧдны	обострить
лёкмӧдны	ухудшить
лёллявны	свисать
лӧвтны	хныкать
лӧгасьны	обижаться
лӧзавны	синеть
лӧзавны	голубеть
лӧзӧдыштны	поголубеть
лӧнявны	успокаиваться
лӧсасьны	обтёсываться
лӧставны	блестеть
лӧсьӧдавны	организовывать
лӧсьӧдлыны	укладывать
лӧсьӧдны	подставить
лӧсьӧдчыны	метить
лӧсьӧдчыны	намереваться
лӧсьӧдчыны	норовить
лӧсьӧдыштны	переделать
лӧсьӧдыштны	доделать
лӧсявны	оказаться
лӧсявны	помогать
мавтны	льстить
мавтыштны	польстить
магнитавны	намагнитить
майкны	топтать
майксьыны	толочься
майксьыны	топтаться
майтӧгасьны	намылиться
майшасьны	сомневаться
макнитны	махнуть
малавлыны	гладить
малалыштны	погладить
малскыны	жевать
маневрируйтны	маневрировать
манитлыны	задерживать
маршируйтны	маршировать
матайтны	мучить
матысмыны	приближаться
матыстчавны	придвигаться
матыстчыны	подступиться
мездавны	освобождать
мездавны	увольнять
мездмыны	освободиться
мездыны	освободить
меліавны	ласкать
меліаммыны	смягчиться
мерайтны	мерить
мерайтчыны	мериться
меткыльтчыны	извернуться
механизируйтны	механизировать
мечтайтны	мечтать
мешайтны	мешать
митингуйтны	митинговать
мичмӧдчыны	нарядиться
мобилизуйтны	мобилизовать
мобилизуйтчыны	мобилизоваться
мовкнитны	хлестнуть
мовкнитны	качнуть
могмӧдны	удовлетворить
могмӧдны	обеспечить
модернизируйтны	модернизировать
мойдны	рассказывать
мольӧдчыны	побриться
мортасьны	встретиться
мортъяммыны	поправиться
мортъяммыны	похорошеть
мортъяммыны	исправиться
мотивируйтны	мотивировать
мошенничайтны	мошенничать
мудйыны	окучивать
мудйыны	окапывать
музгыльтчыны	подвернуться
мунны	ударить
муныштны	подвинуться
муравны	урчать
муравны	рокотать
муравны	бушевать
муракывны	рокотать
мургыны	мурлыкать
мургыны	гудеть
мургыны	бушевать
мургыны	рокотать
мургыштны	помурлыкать
мурзыны	урчать
муркакывны	рокотать
муркнитны	пророкотать
муртсасьны	меряться
мурчкыны	жевать
мурӧстлывлыны	порыкивать
муткыльтны	бурлить
муткылявны	ворочать
муткырасьны	бурлить
муткырасьны	клубиться
муткыртны	клубиться
мутшкыны	жевать
мутшкӧдны	похрустывать
мутшмыны	влажнеть
мущайтчыны	отвлекать
мущайтчыны	мешаться
мыжмыны	провиниться
мыжмӧдчыны	повиниться
мызгыртчыны	съёжиться
мыкрасьны	наклоняться
мыктавны	заикаться
мыктавны	мямлить
мыкӧстны	заикнуться
мыкӧстны	промычать
мынны	освободиться
мынны	развязаться
мынтыны	выпустить
мынтыны	избавить
мынтыны	искупить
мынтыны	отплатить
мырддьыны	отбить
мырддявны	отбивать
мырксьыны	надрываться
мырксьыны	суетиться
мыськавны	хлестать
мытшавны	запнуться
мытшасьны	запнуться
мытшъявны	заикаться
мыччавны	подавать
мыччасьны	пробиваться
мыччывны	протянуть
мыччыны	подать
мыччыны	протянуть
мыччыны	поднести
мыччысьны	обнаружиться
мыччысьыштны	выступить
мыччысьыштны	пробиться
мыччӧдлыны	показывать
мыччӧдлыны	предъявлять
мыччӧдлыны	свидетельствовать
мыччӧдны	предъявить
мӧвкнитны	качнуть
мӧвкнитны	размахнуться
мӧвкнитны	промелькнуть
мӧвпавны	мечтать
мӧвпыштны	подумать
мӧдны	собираться
мӧдпӧвставны	сдвоить
мӧдӧдавны	переселять
мӧдӧдчывны	собираться
мӧмляйтны	медлить
наградитны	наградить
нажӧвитчыны	зарабатывать
назгыны	гнусавить
нардъявны	приварить
нартитчыны	издеваться
настроитны	настроить
национализируйтны	национализировать
наянитны	ухищряться
небзьыны	размягчиться
небзьыны	смягчиться
небзьыны	распариться
небзьыштны	смягчиться
нежитчыны	изнежиться
немуджтӧмавны	бездельничать
немӧстыны	недолюбливать
немӧстыны	ненавидеть
немӧявны	молчать
несъявны	чихать
нетшкыны	дёргать
нетшыштны	отдёрнуть
нетшыштчыны	вырваться
нетшыштчыны	оторваться
никелируйтны	никелировать
нильзьыны	ослизнуть
нимвидзны	заговорить
нимкодясьны	восхищаться
нимъясьны	хвастаться
ниртны	тереть
ниртыштны	потереть
ничьявны	хлюпать
новлӧдлыны	водить
нокайтны	поддакивать
ноксьыны	суетиться
ноксьыштны	похлопотать
норасьны	жаловаться
нормируйтны	нормировать
нормыны	загрустить
нормыны	умилиться
нормӧдны	умилить
нуждайтчыны	нуждаться
нуны	вести
нургыны	мурлыкать
нускыны	сопеть
ныргормунны	всхрапнуть
нырисасьны	принюхиваться
нырны	давить
ныръявны	упрямиться
ньылыштны	поглотить
ньылӧмтӧммӧдны	обезжирить
нэммӧдны	увековечить
нэрмыны	слабеть
нювсьыны	облизываться
нювсьыны	лизаться
нюжавны	тянуться
нюжвидзны	раскинуться
нюжгысьны	растянуться
нюжйӧдлыны	растягивать
нюжйӧдлыны	протягивать
нюжйӧдлыны	высунуть
нюжмасьны	медлить
нюжъявны	растягиваться
нюжӧдны	высунуть
нюжӧдны	затянуть
нюжӧдны	продлить
нюжӧдны	удлинить
нюжӧдчыны	растянуться
нюжӧдчыны	пролегать
нюкрасьны	корчиться
нюкрасьны	мяться
нюкрӧдлыны	сгибать
нюкыльтны	согнуть
нюкыльтчыны	согнуться
нюкыртны	согнуть
нюкыртны	сжать
нюмыртчывны	ухмыльнуться
нюрзьыны	заболачиваться
нюрсмунны	похудеть
нюшкыны	нюхать
нюшкыны	сопеть
нюшкыны	выиграть
нюшкыштны	потащить
нявзыны	мяукать
няжӧдчыны	пиликать
нязакывны	хрустеть
нязмунны	хрустнуть
няклявны	мять
няклявны	пережёвывать
някравны	и
нямравны	подмять
нямыльтны	прошамкать
нярмыны	опустеть
нярмыны	захныкать
нярталаавны	заарканить
няръявны	наяривать
нятшкыны	сосать
нятшкыны	жевать
нёльпӧвставны	учетверить
нёньыштны	пососать
нёнявны	сосать
нёнясьны	сосать
нёровтчыны	прилечь
нёрпавны	недомогать
нӧбавны	намести
нӧрӧвитны	переждать
нӧшасьны	драться
обжалуйтны	обжаловать
обмундируйтны	обмундировать
оборудуйтны	оборудовать
овлывлыны	бывать
овлыны	бывать
овлыны	побыть
овмӧдчавны	обзаводиться
овмӧдчавны	зажить
овмӧдчыны	нажиться
овмӧдчыны	зажить
овны	бодрствовать
ожманасьны	воевать
ойгыны	жалеть
ойдны	разливаться
ойдны	наполниться
ойдӧдны	наводнить
ойӧстны	охнуть
ойӧстыны	обессилеть
окайтны	охать
окйӧдлыны	охать
оккупируйтны	оккупировать
окнитны	охнуть
октыны	насторожить
октыны	взвести
окӧстны	охнуть
олыштны	пожить
олыштны	побыть
омӧльтчыны	слабеть
онишмунны	разомлеть
оправдайтны	оправдать
оправдайтчыны	оправдаться
оравлыны	прекращаться
оравлыны	прерываться
ордйӧдавны	обгонять
ордйӧдавны	обходить
ордйӧдчыны	обходить
ордъявны	перегонять
ордъявны	обходить
ордъявны	обносить
орлыны	обрываться
орлыны	истощиться
орны	распилиться
орны	исхудать
орны	сорваться
орччаасьны	поравняться
оръясьны	прерываться
орӧдны	прорвать
орӧдны	сорвать
орӧдны	истощить
орӧдчыны	сорваться
орӧдчыны	рваться
орӧдчыны	надрываться
отсавны	способствовать
отчитайтчыны	отчитаться
отчитывайтчыны	отчитываться
оформитны	оформить
очмунны	вздрогнуть
ошкыны	одобрять
павтыравны	раскидывать
павтыртны	задрать
павтыртчыны	задраться
павъявны	болтаться
павъявны	развеваться
павъявны	разлетаться
пагӧдны	усыпить
падмыны	затормозиться
падмӧдчыны	отвлекать
падуявны	кантовать
падуявны	кувыркать
падуясьны	кувыркаться
пактӧдны	выпаривать
пактӧдны	уварить
палитны	распялить
палявны	разгуляться
панлавны	перебивать
панлавны	отговаривать
панласьны	соперничать
панлыны	затевать
панны	развязать
пансьыны	основаться
пансьыны	разыграться
паныдавны	возразить
паныдасьлыны	соприкасаться
паныдасьӧдны	столкнуть
паньыштны	хлебнуть
панясьны	хлебать
панясьны	оттачивать
парквартны	побить
парсасьны	царапаться
партизанавны	партизанить
пасибӧасьны	отблагодарить
пасйыны	регистрировать
пасйыны	засечь
пасъявны	маркировать
пасъявны	регистрировать
пасынкуйтны	пасынковать
пасьвартны	разнести
паськавны	развиваться
паськавны	разрастаться
паськавны	расплываться
паськавны	разлиться
паськӧдлыны	раздувать
паськӧдны	раздвинуть
паськӧдны	задёрнуть
паськӧдны	популяризовать
паськӧдчыны	распространяться
паськӧдчыны	разомкнуться
паськӧдчыны	возвышаться
патрулявны	патрулировать
патурликасьны	кувыркаться
пашкыртчыны	распушиться
пашкыртчыны	кудрявиться
певкйыны	избить
пелявны	расщеплять
пемыдгорулавны	сумерничать
перечислитны	перечислить
перйыны	стянуть
перйыны	копать
перъявны	снимать
перъявны	взимать
песлалыштны	постирать
песлалыштны	помять
песлассьыны	отстираться
песлӧдлыны	корёжить
песлӧдлыштны	поломать
песлӧдлыштны	скрутить
песовтны	согнуть
песовтны	совладать
песовтчыны	повернуть
пестыны	раскурить
песыштны	размять
песыштны	промять
петавлыны	взойти
петавны	сходить
петкӧдлыны	выносить
петкӧдлыны	имитировать
петкӧдлыны	предъявить
петкӧдлыссьыны	изображаться
петкӧдны	вывезти
петкӧдны	выкинуть
петкӧдны	выкатить
петкӧдны	экспортировать
петкӧдчыны	отразиться
петкӧдчыны	предстать
петны	выехать
петны	поспеть
петны	причитаться
петны	пахнуть
петшӧравны	жалить
печатайтны	запечатать
печиктыны	щёлкнуть
печлавны	перебирать
пикируйтны	пикировать
пикнитны	пикнуть
пилитны	пиликать
пируйтны	кутить
писькӧдлыны	точить
писькӧдны	пробурить
писькӧдны	слабить
писькӧдчыны	прорыться
письмӧасьны	переписываться
пломбируйтны	пломбировать
плӧтничайтны	плотничать
повторитны	повторить
повторяйтны	повторять
подпишитны	подписать
подпишитчыны	подписаться
подражайтны	подражать
пожъявны	промыть
пожъявны	смыть
пожъясьны	обмыться
поздысьны	роиться
полируйтны	полировать
польскӧдчыны	плескаться
помавны	исчерпать
помасьны	разрешиться
помнитлыны	попомнить
помнитны	помнить
пондывны	пытаться
понъясьны	сквернословить
поромитчыны	запружаться
посйысьны	гатить
посньӧдлыны	разукрупнять
посньӧдны	разменять
поткӧдлыны	лущить
поткӧдны	расколоть
поткӧдны	расщепить
поткӧдны	прорезать
поткӧдны	разорвать
поткӧдны	раздирать
потласьны	колоться
потласьны	лопаться
потласьны	изорваться
потны	расколоться
потны	лопнуть
потны	разорваться
потны	ломить
потны	прорезаться
потшны	отрезать
потшсьыны	отгородиться
пошкӧдчыны	насторожиться
правитны	править
практикуйтны	практиковать
практикуйтчыны	практиковаться
предайтны	предать
предложитны	предложить
председателявны	председательствовать
представитны	представить
представляйтны	представлять
премируйтны	премировать
преобразуйтны	преобразовать
преследуйтны	преследовать
прессуйтны	прессовать
приватизируйтны	приватизировать
призывайтчыны	призываться
прикажитны	приказать
приколитны	приколоть
прикрепитны	прикрепить
присвоитны	присвоить
пробкаасьны	закупориться
провалитны	провалить
провалитчыны	провалиться
пропагандируйтны	пропагандировать
пропишитны	прописать
пропишитчыны	прописаться
проповедуйтны	проповедовать
проявитны	проявить
проявитчыны	проявиться
пружинитны	пружинить
прыссьыны	прыскать
прыссьыны	мчаться
прӧверитны	сверить
прӧверитны	пробовать
прӧверяйтны	проверять
прӧзевайтны	прозевать
прӧйдитны	протекать
прӧймитны	въесться
прӧкиритны	притворяться
прӧстмыны	освободиться
прӧступитны	оступиться
прӧступитны	просчитаться
прӧтивитны	опротиветь
пугрӧдлыны	раздувать
пузьыны	спечься
пузьыны	получиться
пузьӧдны	палить
пузьӧдны	обметать
пукавлывлыны	сиживать
пукавсьыны	сидеться
пукавсьыны	засидеться
пуклӧсавны	оседлать
пуксьывны	наступать
пуксьыны	установиться
пуксьыны	вестись
пуксьӧдны	приземлить
пуктавны	вставлять
пуктавны	назначать
пуктавны	закладывать
пуктыны	вставить
пуктыны	налить
пуктыны	наложить
пуктыны	заложить
пуктыны	выставить
пуктыны	обложить
пуктыны	врезать
пуктыссьыны	прилагаться
пуны	кипеть
пуркйыны	нести
пуркнитны	взвихриться
пуркнитны	обдать
пуркӧситны	вьюжить
пурмӧдны	закупорить
пурмӧдны	затянуть
пустуйтны	пустовать
пустӧшитчыны	опустошиться
пусьыштны	повариться
пусьыштны	поварить
путкыльтны	отвалить
путкыльтчыны	сорваться
путкыльтчыны	кружиться
путкыльтчыны	пасть
путкылявны	кантовать
путкылясьны	валяться
путкылясьны	вываливаться
путкылясьны	переваливаться
пушкыны	пыхтеть
пуӧдны	кипятить
пыдзрасьны	сжиматься
пыдзыртны	выжать
пыдзыртны	кривить
пыдзыртчыны	выжиматься
пыдзыртчыны	сжаться
пыдзыртчыны	иссякнуть
пыдӧсавны	подшить
пызйыны	кропить
пылльысьны	шелушиться
пыригтыны	накрошить
пыркмунны	дрогнуть
пыркмунны	дёрнуться
пыркмунны	тряхнуться
пыркнитлыны	встряхивать
пыркнитны	передёрнуть
пыркнитчыны	сотрястись
пыркӧдны	выжать
пырны	попадать
пырны	засыпаться
пырны	привиться
пырны	задвинуться
пырны	относиться
пырны	засесть
пыртны	завезти
пыртны	заимствовать
пырӧдчыны	присосаться
пырӧдчыны	вникать
пысавлыны	нанизывать
пытайтны	пытать
пытайтны	дознаваться
пышйыны	уйти
пышйӧдны	угнать
пӧвадитчыны	повадиться
пӧдлавны	защемить
пӧдны	утонуть
пӧдтыны	утопить
пӧдтыны	закурить
пӧдтыны	морить
пӧдтыны	погасить
пӧдтысьны	утопиться
пӧжавлыны	перепечь
пӧжавны	пропекать
пӧжсьыны	париться
пӧлнясьны	крениться
пӧлнясьны	переваливаться
пӧлыньтны	стоптать
пӧлыньтчыны	стаптываться
пӧльзуйтчыны	пользоваться
пӧльтны	нагнести
пӧлявны	дуть
пӧлясьны	дуть
пӧрйӧдлыны	лгать
пӧрласьны	опрокидываться
пӧрласьны	разваливаться
пӧрны	претвориться
пӧртмасьны	мерцать
пӧръявлыны	обманывать
пӧръявлыны	лгать
пӧръявны	обмануть
пӧръяссьыны	обмануться
пӧрыньтчыны	опрокинуться
пӧрӧдчыны	прилечь
пӧрӧдчыны	повалиться
пӧсьӧдчыны	пропотеть
пӧткӧдчыны	кормиться
пӧчитайтны	почитать
радейтны	любить
радиофицируйтны	радиофицировать
радлӧдны	радовать
разавны	распылиться
разгысьны	раскинуться
разйысьны	распасться
размунны	развалиться
разьны	расстегнуть
разьны	размотать
разьны	развернуть
разьны	разобрать
разьны	распутать
разьны	открутить
разьсьыны	размотаться
разьсявны	разматываться
разьсявны	развёртываться
разявны	развязывать
разявны	расстёгивать
разявны	расплетать
разявны	разматывать
разявны	развёртывать
разясьны	раскутаться
разӧдны	рассыпать
разӧдны	разнести
разӧдны	раздать
разӧдны	распространить
разӧдны	расселить
разӧдчавны	расползаться
разӧдчыны	расползтись
рамкаавны	оправить
раммыны	утихнуть
расклеитчыны	расклеиться
раснитны	выдернуть
распределитны	распределить
расследуйтны	расследовать
рассуждайтны	рассуждать
рассуждайтны	осуждать
рационализируйтны	рационализировать
ревизируйтны	ревизовать
ревнуйтны	ревновать
резны	мчаться
резьдавны	распускаться
рекмыны	опустеть
рекомендуйтны	рекомендовать
реконструируйтны	реконструировать
ректавны	разгружать
ректавны	выгружать
ректавны	опорожнять
ректавны	обкрадывать
ректыны	разгрузить
ректыны	выгрузить
реорганизуйтны	реорганизовать
реставрируйтны	реставрировать
рискуйтны	рисковать
рифмуйтны	рифмовать
розьӧдлыны	изрешетить
розьӧдны	прогрызть
ротіктыны	трусить
ружтыны	стонать
ружтыны	кряхтеть
ружӧктыны	закряхтеть
рытйысьны	сумерничать
рӧзбойничайтны	разбойничать
рӧзӧритчыны	издержаться
рӧмавны	отливать
рӧммӧдны	покрасить
сакавны	сачить
салютуйтны	салютовать
самавсьыны	наживляться
сапкысьны	вцепиться
сапкысьны	вонзиться
сапожничайтны	сапожничать
сарпыштны	царапнуть
сатшкысьны	щипать
сатшкысьны	льнуть
сверлитны	сверлить
сгинитны	сгинуть
сгӧдитчыны	пригодиться
сгӧдитчыны	подойти
сдавайтны	сдавать
сдайтны	сдать
секретаравны	секретарствовать
серавлыны	смеяться
серласьны	рябить
серпасавны	иллюстрировать
серӧдны	испещрить
серӧссьыны	пестреть
сетавны	выдавать
сетавны	подавать
сетавны	задавать
сетавны	давать
сетавны	сдать
сетлыны	подать
сетны	выдать
сетны	вручить
сетны	представить
сетны	излучать
сетны	наделить
сетны	передать
сетны	сдать
сетсьыны	предоставляться
сетсьыны	выдаваться
сетчывлыны	сдаваться
сетчывлыны	предаваться
сетчывлыны	даваться
сетчыны	податься
сетчыны	даваться
сетчыны	прикинуться
сибусавны	моросить
сибусавны	порошить
сибӧдчыны	подлаживаться
сивӧймыны	сиветь
синитны	синить
синитсьыны	подсиниться
синсьыны	клониться
сины	посвятить
сиптысьны	прикрыться
сирассьыны	просмолиться
скитайтчыны	скитаться
склоняйтчыны	склоняться
сконъясьны	споткнуться
слабмыны	колебаться
славитны	ославить
следитны	следить
снабжайтны	снабжать
снабжайтчыны	снабжаться
собавны	бродить
соблюдайтны	соблюдать
собны	брести
совмещайтны	совмещать
содны	прибывать
содны	спориться
содтыны	усилить
содтыны	углубить
содтыны	умножить
содтыштавны	дополнять
содтыштавны	привирать
соласьны	просолиться
солькмунны	взболтнуться
солькнитны	взболтнуть
сомневайтчыны	сомневаться
соравны	сплавить
сорасьны	сплавиться
сорсьыны	смешать
сорсявны	путаться
сотны	прижечь
сотчыны	зудеть
сотчыны	перегореть
сотчыштны	погореть
спасайтны	спасать
спаситны	спасти
спекулируйтны	спекулировать
специализируйтчыны	специализироваться
спишитны	списать
спормыны	заспорить
спояйтчыны	спаяться
справитны	починить
справитны	ухаживать
справитчыны	справиться
справитчыны	выровняться
спрягайтчыны	спрягаться
стажёравны	стажировать
стартуйтны	стартовать
стерилизуйтны	стерилизовать
стимулируйтны	стимулировать
столуйтчыны	столоваться
столяритны	столярничать
стрӧитсьыны	строиться
стрӧитчыны	отстроиться
стыдитчыны	стыдиться
стынитны	дрыхнуть
стӧчмыны	уточниться
сувтлыны	привстать
сувтлыны	приостановиться
сувтлыны	останавливаться
сувтлыны	касаться
сувтны	предстать
сувтны	млеть
сувтны	застопориться
сувтовкерны	приостановиться
сувтыштлыны	привстать
сувтыштлыны	приостановиться
сувтыштлыны	затронуть
сувтыштны	ступить
сувтыштны	встать
сувтӧдавны	наставить
сувтӧдавны	останавливать
сувтӧдны	остановить
сувтӧдны	заглушить
сувтӧдны	законсервировать
сувтӧдны	застопорить
сувтӧдсьыны	ставиться
судзӧдавны	выписывать
судитны	судить
суетитчыны	суетиться
сукмӧдны	загустить
сулавны	стоить
сулавны	заслуживать
сунавны	нырять
сунласьны	нырять
сунтшикасьны	спотыкаться
сутшкасьны	колоться
сутшкасьны	исколоться
сутшкысьны	вонзиться
сутшкысьны	воткнуться
сутшкысьны	уткнуться
сутшкысьны	приткнуться
сутшкысьны	ткнуться
сутшӧдны	тыкать
сывдыны	развести
сывйыштны	обхватить
сывйыштны	обнять
сывйыштчыны	обняться
сывны	растопиться
сывны	угасать
сывны	убыть
сывъявны	обхватывать
сывъявны	обнимать
сывъясьны	обниматься
сылӧсьтны	просалить
сынавны	огрести
сынны	грести
сыныштны	причесать
сыркӧдны	сотрясать
сырмыны	вибрировать
сырмыны	мерцать
сырмӧдны	поколебать
сысъявны	растранжирить
сьывсьыны	петься
сьӧдъяммыны	привыкнуть
сьӧдӧдны	закоптиться
сьӧдӧдны	окислиться
сьӧласьны	харкать
сьӧлыштны	харкнуть
сьӧлыштны	плевать
сьӧлӧмассьыны	воодушевиться
сэзьдыны	вызвездить
сэпыльтны	высыпать
сювъявны	носиться
сюйны	вставить
сюйны	ввернуть
сюйны	оговорить
сюйны	прибить
сюйны	погрузить
сюйны	провести
сюйыштны	подсунуть
сюйыштны	ввернуть
сюйыштны	заправить
сюйыштны	ткнуть
сюйыштны	заложить
сюркнявны	поджать
сюркнявны	завершить
сюрсасьны	прильнуть
сюртчыны	стремиться
сюсьмӧдны	изощрить
сюсьмӧдчыны	изловчиться
сюявны	ставить
сюявны	сажать
сюявны	наложить
сюявны	заправить
сявгыны	лить
сявкйӧдлыны	брызгать
сявкнитны	присыпать
сявкъявны	шарахаться
сявмунны	шарахнуться
сявмунны	брызнуть
сяльгыны	журчать
сялькӧдчыны	плескаться
сялькӧдчыны	журчать
сяммӧдчыны	изловчиться
сяркнитны	загреметь
сяркӧдчыны	стучать
сяркӧдчыны	брякать
сярӧбтыны	выстрелить
сёйны	впиться
сёльгыны	журчать
сёльмунны	плеснуть
сёльӧдчыны	плескаться
сёрмӧдны	задержать
сёрнитавны	поговаривать
сёрнитавны	переговорить
сёрнитлывлыны	поговаривать
сёрнитлыны	разговаривать
сёрнитны	высказаться
сёртны	гравировать
сімӧдны	ржавить
сітавны	испражняться
сӧвещайтчыны	совещаться
сӧвлыны	ложиться
сӧвмыны	зреть
сӧвмыны	отстояться
сӧвмӧдны	упрочить
сӧвмӧдны	разрабатывать
сӧгласуйтны	координировать
сӧлӧдны	возложить
сӧрны	бредить
сӧткыны	чертыхаться
сӧтны	рубануть
сӧтны	ударить
сӧтыштны	ударить
табанитчыны	упираться
таджикасьны	переваливаться
таджикасьны	растопырить
таджъясьны	упираться
такӧдчыны	убеждать
тальыштны	притоптать
таляссьыны	истоптаться
талясьны	стоптаться
тангысьны	встретиться
тапкыны	хлопнуть
тапкыны	топнуть
тапъявны	топтаться
таргыны	тарахтеть
таркакывны	стучать
таркакывны	греметь
таркӧдны	тарахтеть
тарӧбтыны	застучать
татуируйтны	татуировать
татшкыны	стучать
тачкӧдчыны	стучать
телеграфируйтны	телеграфировать
теньгыны	стонать
терпитсьыны	терпеться
тешитны	смешить
тешкодясьны	оригинальничать
тивзыны	свистеть
тивзыны	визжать
тивкъявны	скользить
тивӧстны	взвизгнуть
тогнитны	тряхнуть
тогнитны	дёрнуть
тойласьны	толкаться
тойласьны	отталкиваться
тойтны	топтаться
тойтны	биться
тойыштны	толкнуть
тойыштны	столкнуть
тойыштны	оттолкнуть
тойыштны	ткнуть
тойыштчыны	оттолкнуться
тольскӧдчыны	плескаться
тольснитны	окунуть
томмӧдны	молодить
томмӧдчыны	молодиться
тоньгӧдчыны	повиснуть
тоньйӧдлыны	болтать
тонькнитны	ударить
топавлыны	кончаться
топнитны	топнуть
топӧдны	крепчать
топӧдчывны	прижаться
топӧдчывны	обняться
топӧдчыны	обняться
топӧдчыштны	потесниться
торгӧдчыны	насторожиться
торйӧдавны	различать
торйӧдавны	отгораживать
торйӧдлыны	группировать
торйӧдсьыны	отводиться
торйӧдчыны	отбиться
торкавны	нарушать
торкасьны	мешаться
торквидзны	торчать
торкнитны	застучать
торксявны	портиться
торпыригавны	распилить
торъявлыны	расслоиться
торъявлыны	распасться
торъявны	разродиться
торъявны	отстать
торъявны	распасться
торӧдны	стучать
тоткӧдчыны	ворчать
тотшнитчыны	чокнуться
тотшсьӧдны	семенить
тотӧдчыны	стучать
тотӧдчыны	рокотать
точйӧдлыны	щёлкать
точкысьны	чокнуться
точнитны	щёлкнуть
точӧдчыны	стучать
трачкӧдчыны	трещать
требуйтны	требовать
тренируйтны	тренировать
тренируйтчыны	тренироваться
тривкнитчыны	дрогнуть
триньгыны	звенеть
тринькерны	прозвенеть
тринькерны	тренькнуть
тринькмунны	зазвонить
троксьӧдны	семенить
троньгысьны	чокнуться
троньӧбтыны	прозвенеть
трудитчыны	трудиться
трӧпитны	утоптать
тубыртны	обложить
тувйыштны	прибить
тувйыштны	навязать
тувйыштны	ударить
тувкйӧдчыны	толкаться
тувкӧдны	подталкивать
тувччавны	ступать
тувччавны	наступать
тувччыны	ступить
тувччыны	наступить
тувъявлыны	прибивать
тувъявны	прибить
тувъявны	навязать
тувъясьны	уставиться
тувъясьны	напроситься
тузьыны	вздуться
туйвежасьны	разминуться
туйдны	наметить
туктавны	тлеть
тунавны	предвещать
тунавны	накликать
тунгыны	окунуть
тунгыны	толкнуть
туны	прибывать
туны	зарасти
тупкавны	закрывать
тупкавны	завешивать
тупкавны	затыкать
тупкавны	заделывать
тупкыны	закрыть
тупкыны	завесить
тупкыны	заделать
тупкысьны	закрыться
тупкысьны	скрыться
туплявны	катать
туплясьны	кататься
туплясьны	валяться
турбылясьны	кувыркаться
турбылясьны	валяться
турликсьыны	растянуться
турыштчыны	нахохлиться
тускассьыны	потускнеть
тускасьны	потускнеть
тусясьны	накрапывать
тутны	перекувырнуться
тутӧдны	перекувырнуть
туясьны	выслеживать
тшапкыны	вонзить
тшолкйӧдлыны	щёлкать
тшолкъявны	щеголять
тшолкӧдны	чеканить
тшолскыны	щёлкать
тшолскӧдлыны	щёлкать
тшолскӧдлыны	цокать
тшукӧдавны	колоть
тшукӧдавны	пригонять
тшукӧдавны	приурочивать
тшукӧдны	пригнать
тшукӧдны	приурочить
тшупны	отрезать
тшыгйӧдчыны	проголодаться
тшынавны	дымиться
тшынасьны	дымиться
тшынйысьны	рыскать
тшӧкмӧдны	участить
тшӧктӧдны	заставить
тшӧкъявны	давиться
тшӧкъявны	осекаться
тшӧкӧлдывайтны	щеголять
тшӧкӧлдывайтны	болтать
тыдовтчыны	показаться
тырмывны	хватать
тырмӧдчыны	успевать
тырны	истечь
тырны	зарасти
тырны	выполняться
тырсьӧдны	опылить
тыртавны	наполнять
тыртавны	доливать
тыртавны	заваливать
тыртавны	выполнять
тыртавны	начинять
тыртны	выполнить
тыртны	отжить
тыртчыны	зарыться
тыртыштны	запорошить
тыртӧмавны	пустовать
тыртӧммыны	опустеть
тышкасьны	драться
тышкасьны	бороться
тышкасявны	передраться
тэрмӧдны	торопить
тэрыбмӧдны	ускорить
тэтшкыны	чуфыкать
тювйӧдлыны	метать
тювкъявны	шмыгать
тювкъявны	нырять
тювӧдны	побежать
